#code	name	class	tab	row	col
0	Attack	-1	0	0	0
1	Kick	-1	0	0	0
2	Throw	-1	0	0	0
3	Unsummon	-1	0	0	0
4	Left Hand Throw	-1	0	0	0
5	Left Hand Swing	-1	0	0	0
6	Magic Arrow	-1	1	1	2
7	Fire Arrow	-1	1	1	3
8	Titan Strike	-1	0	0	0
9	Titan Strike	-1	0	0	0
10	Jab	-1	3	1	1
11	Cold Arrow	-1	1	2	1
12	Multiple Shot	-1	1	2	2
13	Fragmentation Shot	-1	0	0	0
14	Power Strike	-1	3	2	2
15	Shunpo	-1	0	0	0
16	Exploding Arrow	-1	1	3	3
17	Deathstrike	-1	0	0	0
18	Soulshatter	-1	0	0	0
19	Black Lotus Strike	-1	0	0	0
20	Death Blossom	-1	0	0	0
21	Holy Trap	-1	0	0	0
22	Fear Bomb Totem	-1	0	0	0
23	Spore Shot	-1	3	3	1
24	OHMAN	-1	0	0	0
25		-1			
26		-1			
27	Spin to Win	-1	0	0	0
28	Rock Shock	-1	0	0	0
29	Unholy Armor	-1	0	0	0
30	Rain of Bombs	-1	0	0	0
31		-1			
32	Unholy Armor	-1	0	0	0
33		-1			
34	Superbeast	-1	3	2	3
35		-1			
36	Fire Bolt	-1	1	1	2
37		-1			
38	Charged Bolt	-1	2	1	2
39		-1			
40		-1			
41		-1			
42	Static Field	-1	2	2	1
43		-1			
44	Frost Nova	-1	3	2	1
45		-1			
46		-1			
47		-1			
48	Nova	-1	2	3	1
49	Lightning	-1	2	3	2
50	Hammertime	-1	0	0	0
51	Fire Wall	-1	1	4	1
52	Vindicate	-1	0	0	0
53		-1			
54	Teleport	-1	2	4	3
55		-1			
56		-1			
57	Mana Tide Totem	-1	0	0	0
58	Elemental Totem	-1	0	0	0
59	Stampede	-1	1	2	3
60	Spiral Dance	-1	0	0	0
61		-1			
62	Hades Gate	-1	0	0	0
63	Starfire	-1	0	0	0
64	Frozen Orb	-1	3	6	1
65	Bloodbath	-1	0	0	0
66	Amplify Damage	-1	1	1	2
67	Cow Disguise	-1	0	0	0
68	Danse Macabre	-1	0	0	0
