name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable																																																			
Crown					17	31			55			50		29		8345	77501	crn	crn			crn	hlm	crn	xrn	urn			2	2	1	3	1	flpcrn	invcrn														helm		item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1																																																			
Field Plate					70	73	2	5	55			48		28		23841	183387	fld	fld			fld	fld	fld	xld	uld		1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2						tors		item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1																																																			
Plate Boots					8	11			70			24		27		2954	35939	hbt	hbt			hbt	hbt	hbt	xhb	uhb		16	2	2				flphbt	invhbt														boot		item_bootsmetal	12	item_bootsmetal			5						6				120			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255				8		xxx	xxx			1																																																			
Gaunlets(H)					8	11			60			24		27		2964	36007	hgl	hgl			hgl	hgl	hgl	xhg	uhg		16	2	2				flphgl	invhgl														glov		item_glovesmetal	12	item_glovesmetal			5						5							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255				8		xxx	xxx			1																																																			
Tower Shield					15	17	1	10	75		1	60		22		4249	36869	tow	tow			tow	buc	tow	xow	uow		7	2	3	1	3	2	flptow	invtow														shie		item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	2		xxx	xxx			1																																																			
Aerin Shield (Grade 1)	100		4	1	117	229			36	0	1	68		12	3	565		w23	w23		402	pa3	spk	w23	w23	w23		7	2	4	1	2	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Aerin Shield (Grade 2)	100		4	1	194	363			52	0	1	68		27	8	3160		w43	w43		402	pa3	spk	w43	w43	w43		7	2	4	1	2	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Aerin Shield (Grade 3)	100		4	1	300	538			76	0	1	68		41	12	9611		w63	w63		402	pa3	spk	w63	w63	w63		7	2	4	1	2	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Aerin Shield (Grade 4)	100		4	1	432	770			110	0	1	68		56	17	24000		w83	w83		403	pa3	spk	w83	w83	w83		7	2	4	1	3	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
Aerin Shield (Grade 5)	100		4	1	607	1069			160	0	1	68		71	21	51298		e13	e13		403	pa3	spk	e13	e13	e13		7	2	4	1	3	2	flppa3	invpa4														ashd	tier	item_metalshield	12	item_metalshield			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx	xxx			1																																																			
