code	*done	* Laz / status	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
ac	1				1	armorclass																													none	0
ac-miss	1				1	armorclass_vs_missile																													none	0
ac-hth	1				1	armorclass_vs_hth																													none	0
red-dmg	1				1	normal_damage_reduction																													none	0
red-dmg%	1				1	damageresist																													none	0
ac%	1				2	item_armor_percent																													none	0
red-mag	1				1	magic_damage_reduction																													none	0
str	1				1	strength																													none	0
dex	1				1	dexterity																													none	0
vit	1				1	vitality																													none	0
enr	1				1	energy																													none	0
mana	1				1	maxmana																													none	0
mana%	1				1	item_maxmana_percent																													none	0
hp	1				1	maxhp																													none	0
hp%	1				1	item_maxhp_percent																													none	0
att	1				1	tohit																													none	0
block	1				1	toblock																													none	0
cold-min	1				1	coldmindam																													none	0
cold-max	1				1	coldmaxdam																													none	0
cold-len	1				1	coldlength																													none	0
fire-min	1				1	firemindam																													none	0
fire-max	1				1	firemaxdam																													none	0
ltng-min	1				1	lightmindam																													none	0
ltng-max	1				1	lightmaxdam																													none	0
pois-min	1				1	poisonmindam																													none	0
pois-max	1				1	poisonmaxdam																													none	0
pois-len	1				1	poisonlength																													none	0
dmg-min	1				5																														none	0
dmg-max	1				6																														none	0
dmg%	1				7																														none	0
dmg-to-mana	1				1	item_damagetomana																													none	0
res-fire	1				1	fireresist																													none	0
res-fire-max	1				1	maxfireresist																													none	0
res-ltng	1				1	lightresist																													none	0
res-ltng-max	1				1	maxlightresist																													none	0
res-cold	1				1	coldresist																													none	0
res-cold-max	1				1	maxcoldresist																													none	0
res-mag	1				1	magicresist																													none	0
res-mag-max	1				1	maxmagicresist																													none	0
res-pois	1				1	poisonresist																													none	0
res-pois-max	1				1	maxpoisonresist																													none	0
res-all	1				1	fireresist			3	lightresist			3	coldresist			3	poisonresist																	none	0
res-all-max	1				1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	none	0
abs-fire%	1				1	item_absorbfire_percent																													none	0
abs-fire	1				1	item_absorbfire																													none	0
abs-ltng%	1				1	item_absorblight_percent																													none	0
abs-ltng	1				1	item_absorblight																													none	0
abs-mag%	1				1	item_absorbmagic_percent																													none	0
abs-mag	1				1	item_absorbmagic																													none	0
abs-cold%	1				1	item_absorbcold_percent																													none	0
abs-cold	1				1	item_absorbcold																													none	0
dur	1				1	maxdurability																													none	0
dur%	1				13	item_maxdurability_percent																													none	0
regen	1				1	hpregen																													none	0
thorns	1				1	item_attackertakesdamage																													none	0
swing1	1				8	item_fasterattackrate																													none	0
swing2	1				8	item_fasterattackrate																													none	0
swing3	1				8	item_fasterattackrate																													none	0
gold%	1				1	item_goldbonus																													none	0
mag%	1				1	item_magicbonus																													none	0
knock	1				1	item_knockback																													none	0
regen-stam	1				1	staminarecoverybonus																													none	0
regen-mana	1				1	manarecoverybonus																													none	0
stam	1				1	maxstamina																													none	0
time	1				1	item_timeduration																													none	0
manasteal	1				1	manadrainmindam																													none	0
lifesteal	1				1	lifedrainmindam																													none	0
ama	1			0	21	item_addclassskills																													none	0
